"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,19.9994449615479
176.516634050881,176.554672241211
333.033268101761,333.036987304687
489.549902152642,489.549987792969
646.066536203523,646.067138671875
802.583170254403,802.583435058594
959.099804305284,959.100524902344
1115.61643835616,1115.61694335937
1272.13307240705,1272.13745117187
1428.64970645793,1428.64953613281
1585.16634050881,1585.16589355469
1741.68297455969,1741.68322753906
1898.19960861057,1898.2001953125
2054.71624266145,2054.72021484375
2211.23287671233,2211.23779296875
2367.74951076321,2367.74975585937
2524.26614481409,2524.26611328125
2680.78277886497,2680.78295898437
2837.29941291585,2837.29907226562
2993.81604696673,2993.81567382813
3150.33268101761,3150.46533203125
3306.84931506849,3306.84887695312
3463.36594911937,3463.36572265625
3619.88258317025,3619.88891601562
3776.39921722114,3776.40454101562
3932.91585127202,3932.95434570312
4089.4324853229,4089.43237304687
4245.94911937378,4245.9541015625
4402.46575342466,4402.46630859375
4558.98238747554,4558.98388671875
4715.49902152642,4715.49951171875
4872.0156555773,4872.01953125
5028.53228962818,5028.62451171875
5185.04892367906,5185.04931640625
5341.56555772994,5341.56982421875
5498.08219178082,5498.08642578125
5654.5988258317,5654.599609375
5811.11545988258,5811.11767578125
5967.63209393346,5967.63232421875
6124.14872798434,6124.125
6280.66536203523,6280.66748046875
6437.18199608611,6437.18115234375
6593.69863013699,6593.7001953125
6750.21526418787,6750.216796875
6906.73189823875,6906.73095703125
7063.24853228963,7063.25
7219.76516634051,7219.76416015625
7376.28180039139,7376.28173828125
7532.79843444227,7532.7998046875
7689.31506849315,7689.3564453125
7845.83170254403,7845.830078125
8002.34833659491,8002.34716796875
8158.86497064579,8158.861328125
8315.38160469667,8316.26953125
8471.89823874756,8471.8984375
8628.41487279844,8628.416015625
8784.93150684932,8784.9326171875
8941.4481409002,8941.447265625
9097.96477495108,9097.9658203125
9254.48140900196,9254.482421875
9410.99804305284,9411
9567.51467710372,9567.5517578125
9724.0313111546,9724.0322265625
9880.54794520548,9880.54296875
10037.0645792564,10037.0576171875
10193.5812133072,10193.57421875
10350.0978473581,10350.09765625
10506.614481409,10506.609375
10663.1311154599,10663.126953125
10819.6477495108,10819.64453125
10976.1643835616,10976.1572265625
11132.6810176125,11132.67578125
11289.1976516634,11289.1943359375
11445.7142857143,11445.7099609375
11602.2309197652,11602.2255859375
11758.747553816,11758.7490234375
11915.2641878669,11915.259765625
12071.7808219178,12071.7763671875
12228.2974559687,12228.2578125
12384.8140900196,12384.810546875
12541.3307240705,12541.328125
12697.8473581213,12697.845703125
12854.3639921722,12854.3623046875
13010.8806262231,13010.87890625
13167.397260274,13167.39453125
13323.9138943249,13323.912109375
13480.4305283757,13480.4306640625
13636.9471624266,13636.9443359375
13793.4637964775,13793.4638671875
13949.9804305284,13949.98046875
14106.4970645793,14106.4970703125
14263.0136986301,14263.015625
14419.530332681,14419.5302734375
14576.0469667319,14576.0498046875
14732.5636007828,14732.564453125
14889.0802348337,14889.08203125
15045.5968688845,15045.6005859375
15202.1135029354,15202.1171875
15358.6301369863,15358.634765625
15515.1467710372,15515.150390625
15671.6634050881,15671.6669921875
15828.1800391389,15828.1826171875
15984.6966731898,15984.701171875
16141.2133072407,16141.21875
16297.7299412916,16297.734375
16454.2465753425,16454.25
16610.7632093933,16610.76953125
16767.2798434442,16767.28515625
16923.7964774951,16923.80078125
